,precision,recall,f1-score,support
0,0.0673076923076923,0.07,0.06862745098039216,100.0
1,0.04424778761061947,0.05,0.046948356807511735,100.0
2,0.03409090909090909,0.03,0.031914893617021274,100.0
3,0.054945054945054944,0.05,0.05235602094240838,100.0
4,0.030303030303030304,0.03,0.03015075376884422,100.0
5,0.03669724770642202,0.04,0.03827751196172249,100.0
6,0.07547169811320754,0.08,0.07766990291262135,100.0
7,0.02912621359223301,0.03,0.029556650246305417,100.0
8,0.057692307692307696,0.06,0.058823529411764705,100.0
9,0.041666666666666664,0.04,0.04081632653061224,100.0
10,0.05263157894736842,0.05,0.05128205128205128,100.0
11,0.024390243902439025,0.02,0.02197802197802198,100.0
12,0.03773584905660377,0.04,0.038834951456310676,100.0
13,0.06542056074766354,0.07,0.06763285024154589,100.0
14,0.059322033898305086,0.07,0.06422018348623854,100.0
15,0.010416666666666666,0.01,0.01020408163265306,100.0
16,0.05154639175257732,0.05,0.050761421319796954,100.0
17,0.0380952380952381,0.04,0.03902439024390244,100.0
18,0.05154639175257732,0.05,0.050761421319796954,100.0
19,0.05747126436781609,0.05,0.053475935828877004,100.0
20,0.030927835051546393,0.03,0.030456852791878174,100.0
accuracy,0.045714285714285714,0.045714285714285714,0.045714285714285714,0.045714285714285714
macro avg,0.04528822201271166,0.04571428571428572,0.04541778851239414,2100.0
weighted avg,0.04528822201271166,0.045714285714285714,0.04541778851239414,2100.0
