,precision,recall,f1-score,support
0,0.05128205128205128,0.04,0.0449438202247191,100.0
1,0.05128205128205128,0.06,0.055299539170506916,100.0
2,0.045454545454545456,0.05,0.047619047619047616,100.0
3,0.02654867256637168,0.03,0.028169014084507043,100.0
4,0.05319148936170213,0.05,0.05154639175257732,100.0
5,0.02040816326530612,0.02,0.020202020202020204,100.0
6,0.05154639175257732,0.05,0.050761421319796954,100.0
7,0.04504504504504504,0.05,0.04739336492890995,100.0
8,0.07339449541284404,0.08,0.07655502392344497,100.0
9,0.09375,0.09,0.09183673469387756,100.0
10,0.08080808080808081,0.08,0.08040201005025126,100.0
11,0.031578947368421054,0.03,0.03076923076923077,100.0
12,0.08737864077669903,0.09,0.08866995073891626,100.0
13,0.04950495049504951,0.05,0.04975124378109453,100.0
14,0.1111111111111111,0.1,0.10526315789473684,100.0
15,0.05263157894736842,0.05,0.05128205128205128,100.0
16,0.043478260869565216,0.04,0.041666666666666664,100.0
17,0.049019607843137254,0.05,0.04950495049504951,100.0
18,0.03409090909090909,0.03,0.031914893617021274,100.0
19,0.057692307692307696,0.06,0.058823529411764705,100.0
20,0.037037037037037035,0.04,0.038461538461538464,100.0
accuracy,0.054285714285714284,0.054285714285714284,0.054285714285714284,0.054285714285714284
macro avg,0.054582587498199074,0.05428571428571429,0.05432550481370139,2100.0
weighted avg,0.05458258749819908,0.054285714285714284,0.05432550481370139,2100.0
