,precision,recall,f1-score,support
0,0.898989898989899,0.89,0.8944723618090452,100.0
1,0.9207920792079208,0.93,0.9253731343283582,100.0
2,0.9029126213592233,0.93,0.916256157635468,100.0
3,0.99,0.99,0.99,100.0
4,0.9705882352941176,0.99,0.9801980198019802,100.0
5,0.99,0.99,0.99,100.0
6,0.9019607843137255,0.92,0.9108910891089109,100.0
7,0.8867924528301887,0.94,0.912621359223301,100.0
8,0.8947368421052632,0.85,0.8717948717948718,100.0
9,1.0,1.0,1.0,100.0
10,0.9444444444444444,0.85,0.8947368421052632,100.0
11,0.875,0.84,0.8571428571428572,100.0
12,0.9607843137254902,0.98,0.9702970297029702,100.0
13,0.7924528301886793,0.84,0.8155339805825242,100.0
14,0.9795918367346939,0.96,0.9696969696969697,100.0
15,0.8888888888888888,0.88,0.8844221105527638,100.0
16,0.9245283018867925,0.98,0.9514563106796116,100.0
17,0.9791666666666666,0.94,0.9591836734693877,100.0
18,0.9897959183673469,0.97,0.9797979797979798,100.0
19,0.9705882352941176,0.99,0.9801980198019802,100.0
20,0.9595959595959596,0.95,0.9547738693467336,100.0
accuracy,0.9338095238095238,0.9338095238095238,0.9338095238095238,0.9338095238095238
macro avg,0.9343623957092101,0.9338095238095238,0.9337546017419511,2100.0
weighted avg,0.9343623957092103,0.9338095238095238,0.9337546017419512,2100.0
