,precision,recall,f1-score,support
0,0.9090909090909091,0.9,0.9045226130653266,100.0
1,0.9223300970873787,0.95,0.9359605911330049,100.0
2,0.9223300970873787,0.95,0.9359605911330049,100.0
3,0.9801980198019802,0.99,0.9850746268656716,100.0
4,0.9801980198019802,0.99,0.9850746268656716,100.0
5,0.99,0.99,0.99,100.0
6,0.9207920792079208,0.93,0.9253731343283582,100.0
7,0.912621359223301,0.94,0.9261083743842364,100.0
8,0.90625,0.87,0.8877551020408163,100.0
9,1.0,1.0,1.0,100.0
10,0.9157894736842105,0.87,0.8923076923076922,100.0
11,0.8269230769230769,0.86,0.8431372549019608,100.0
12,0.9603960396039604,0.97,0.9651741293532338,100.0
13,0.84,0.84,0.8399999999999999,100.0
14,0.98989898989899,0.98,0.9849246231155778,100.0
15,0.8979591836734694,0.88,0.888888888888889,100.0
16,0.9333333333333333,0.98,0.9560975609756097,100.0
17,0.9791666666666666,0.94,0.9591836734693877,100.0
18,0.9895833333333334,0.95,0.9693877551020408,100.0
19,0.9705882352941176,0.99,0.9801980198019802,100.0
20,0.9690721649484536,0.94,0.9543147208121826,100.0
accuracy,0.9385714285714286,0.9385714285714286,0.9385714285714286,0.9385714285714286
macro avg,0.9388819561266886,0.9385714285714286,0.9385449513592687,2100.0
weighted avg,0.9388819561266886,0.9385714285714286,0.9385449513592689,2100.0
